game,Date,Opponent,GF,GA,results,ot,shotsfor,shotsagainst,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,season
49,1/23/2019,Washington Capitals,6,3,W,,37,44,74,65,53.2,54,56,49.1,35,20,63.6,43.3,109.5,2018
50,2/1/2019,Detroit Red Wings,2,3,L,OT,21,33,35,40,46.7,26,34,43.3,14,19,42.4,42.9,104.4,2018
51,2/2/2019,Pittsburgh Penguins,3,2,W,,33,30,72,57,55.8,52,39,57.1,31,22,58.5,52.8,105.4,2018
52,2/4/2019,Anaheim Ducks,6,1,W,,44,25,72,43,62.6,55,33,62.5,32,25,56.1,56.1,109.2,2018
53,2/6/2019,Ottawa Senators,5,4,W,,30,44,57,64,47.1,36,51,41.4,20,29,40.8,37.9,110,2018
54,2/9/2019,Montreal Canadiens,4,3,W,OT,32,38,50,56,47.2,38,35,52.1,25,17,59.5,45.5,107.6,2018
55,2/10/2019,New York Rangers,1,4,L,,56,30,59,42,58.4,42,34,55.3,28,15,65.1,67.7,88.2,2018
56,2/12/2019,Colorado Avalanche,5,2,W,,28,36,33,54,37.9,24,36,40,19,23,45.2,37.9,103.6,2018
57,2/14/2019,Vegas Golden Knights,6,3,W,,43,33,49,39,55.7,37,26,58.7,19,31,38,62.5,97.7,2018
58,2/16/2019,Arizona Coyotes,0,2,L,,22,29,49,51,49,28,34,45.2,20,23,46.5,51.4,92.6,2018
59,2/19/2019,St. Louis Blues,2,3,L,OT,33,41,64,55,53.8,47,48,49.5,34,30,53.1,69.8,100.6,2018
60,2/21/2019,Washington Capitals,2,3,L,,42,28,79,57,58.1,61,45,57.5,30,11,73.2,62.2,101.2,2018
61,2/23/2019,Montreal Canadiens,6,3,W,,36,35,61,52,54,42,37,53.2,28,31,47.5,51.4,104.6,2018
62,2/25/2019,Buffalo Sabres,5,3,W,,33,34,54,60,47.4,41,43,48.8,27,19,58.7,45.2,109.6,2018
